number of photons = 100000000
overflow: 2.89055833004013895988e+07
sum: 7.10947982169463783503e+07
sum: 7.10944166995986104012e+07
avg: 7.10947982169463754687e-01
perc_in: 71.09

number of photons = 100000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
1.07083 	 5.16187843953470937887e-08 	 4.20053450650304971425e-01 	 4.50981256788987667681e-05 
1.07917 	 5.63004723739486807414e-08 	 3.71982354183166441519e-01 	 4.99403261092678919342e-05 
1.08750 	 6.74363083499529737925e-08 	 3.31599765097395471347e-01 	 5.54819866368714455641e-05 
1.09583 	 6.93812581901776775093e-08 	 2.96397441669499661643e-01 	 6.19143304864630154372e-05 
1.10417 	 8.10981768623170934899e-08 	 2.65294854447834738131e-01 	 6.89781786924962002664e-05 
1.11250 	 8.63022124967717099917e-08 	 2.37591535617494853394e-01 	 7.65237526597551174059e-05 
1.12083 	 9.23405603733526660545e-08 	 2.12857500968688967413e-01 	 8.50096372326676733054e-05 
1.12917 	 1.06078992710046680091e-07 	 1.90742191949071077106e-01 	 9.46171258974480984235e-05 
1.13750 	 1.16847268481118664740e-07 	 1.70934372031596421015e-01 	 1.05917229356257926371e-04 
1.14583 	 1.29637424055432364822e-07 	 1.53207530839052280536e-01 	 1.18030201548238202185e-04 
1.15417 	 1.45900850154131424735e-07 	 1.37287838856051530589e-01 	 1.31145886154656699050e-04 
1.16250 	 1.64707538812314959212e-07 	 1.23014544102089909416e-01 	 1.45187078902191086605e-04 
1.17083 	 1.73198790806704405530e-07 	 1.10246799806700393476e-01 	 1.61882393061096087903e-04 
1.17917 	 1.94216277216498440770e-07 	 9.88228094617180224946e-02 	 1.78634792085009938469e-04 
1.18750 	 2.11254274572427785634e-07 	 8.85949883818495098620e-02 	 1.99505412148082936783e-04 
1.19583 	 2.36466844482797780771e-07 	 7.94191458932843180607e-02 	 2.22035607714462477095e-04 
1.20417 	 2.63371578193448364307e-07 	 7.11917041996480426391e-02 	 2.47287322399881211860e-04 
1.21250 	 2.84004481996081210023e-07 	 6.38085921434942970887e-02 	 2.73800253018413120368e-04 
1.22083 	 3.20938990689327962001e-07 	 5.71936164852179101947e-02 	 3.04921019182200034748e-04 
1.22917 	 3.46419718481500839158e-07 	 5.12593610754825748654e-02 	 3.38118458745253634614e-04 
1.23750 	 3.79817058130008060505e-07 	 4.59539465964352022986e-02 	 3.77436610724969385383e-04 
1.24583 	 4.25390434452371033648e-07 	 4.11847817743356964248e-02 	 4.19426825796395327806e-04 
1.25417 	 4.67654760309593391705e-07 	 3.69217160335961608331e-02 	 4.65015395346444430219e-04 
1.26250 	 5.20071476442915518248e-07 	 3.31007835083289639333e-02 	 5.17853461288115212401e-04 
1.27083 	 5.75702329310443217906e-07 	 2.96776566098263180904e-02 	 5.75001423493157431781e-04 
1.27917 	 6.36792813603802208575e-07 	 2.65986762022363543156e-02 	 6.38566833094037574099e-04 
1.28750 	 7.01202951890492265496e-07 	 2.38599490871508126966e-02 	 7.11846983187802034333e-04 
1.29583 	 7.70384819789842398929e-07 	 2.13883534373586030319e-02 	 7.89156370362204180081e-04 
1.30417 	 8.56734616607660362701e-07 	 1.91744805186605873915e-02 	 8.77437579508476154025e-04 
1.31250 	 9.33707879452065768674e-07 	 1.71914923174976523590e-02 	 9.75601348116103745702e-04 
1.32083 	 1.02497761684002273532e-06 	 1.54165082573223498341e-02 	 1.08391007426101356609e-03 
1.32917 	 1.14783686955495106368e-06 	 1.38267632905557640716e-02 	 1.20613586470143968089e-03 
1.33750 	 1.25284327923703885858e-06 	 1.23992383964594086315e-02 	 1.34078935957752270504e-03 
1.34583 	 1.40437002853256875340e-06 	 1.11213004910225028016e-02 	 1.48813786744006492681e-03 
1.35417 	 1.55618342459202481972e-06 	 9.97164815301434040440e-03 	 1.65545966062311564020e-03 
1.36250 	 1.72039178416084364357e-06 	 8.94152308710682332260e-03 	 1.84128994756817070642e-03 
1.37083 	 1.90178307969072622417e-06 	 8.01471216713473683102e-03 	 2.04799206181584692726e-03 
1.37917 	 2.09179935867680646047e-06 	 7.18829102206412166171e-03 	 2.27365634346205717359e-03 
1.38750 	 2.30508940474825605287e-06 	 6.44696953322367125733e-03 	 2.52470778858142081563e-03 
1.39583 	 2.53580074208424618870e-06 	 5.78249774817487811190e-03 	 2.80620856680914880152e-03 
1.40417 	 2.80552093689750785109e-06 	 5.18504756409358599778e-03 	 3.11490937294552289530e-03 
1.41250 	 3.11042795841588332140e-06 	 4.64809455816741871892e-03 	 3.46524620994331442048e-03 
