number of photons = 1000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
1.57083 	 2.092e-02 	 0.000e+00 	 6.865e-01 
1.57917 	 2.071e-02 	 0.000e+00 	 7.109e-01 
1.58750 	 2.098e-02 	 0.000e+00 	 7.036e-01 
1.59583 	 2.077e-02 	 0.000e+00 	 7.076e-01 
1.60417 	 2.041e-02 	 0.000e+00 	 7.091e-01 
1.61250 	 1.979e-02 	 0.000e+00 	 6.990e-01 
1.62083 	 2.062e-02 	 0.000e+00 	 7.144e-01 
1.62917 	 2.012e-02 	 0.000e+00 	 7.229e-01 
1.63750 	 1.927e-02 	 0.000e+00 	 7.445e-01 
1.64583 	 1.988e-02 	 0.000e+00 	 7.427e-01 
1.65417 	 1.960e-02 	 0.000e+00 	 7.367e-01 
1.66250 	 1.913e-02 	 0.000e+00 	 7.465e-01 
1.67083 	 1.938e-02 	 0.000e+00 	 7.444e-01 
1.67917 	 2.008e-02 	 0.000e+00 	 7.436e-01 
1.68750 	 1.907e-02 	 0.000e+00 	 7.573e-01 
1.69583 	 1.944e-02 	 0.000e+00 	 7.652e-01 
1.70417 	 1.965e-02 	 0.000e+00 	 7.770e-01 
1.71250 	 1.881e-02 	 0.000e+00 	 7.637e-01 
1.72083 	 1.959e-02 	 0.000e+00 	 7.900e-01 
1.72917 	 1.886e-02 	 0.000e+00 	 7.951e-01 
1.73750 	 1.894e-02 	 0.000e+00 	 7.960e-01 
1.74583 	 1.932e-02 	 0.000e+00 	 8.018e-01 
1.75417 	 1.898e-02 	 0.000e+00 	 8.075e-01 
1.76250 	 1.901e-02 	 0.000e+00 	 8.324e-01 
1.77083 	 1.871e-02 	 0.000e+00 	 8.491e-01 
1.77917 	 1.907e-02 	 0.000e+00 	 8.238e-01 
1.78750 	 1.904e-02 	 0.000e+00 	 8.378e-01 
1.79583 	 1.881e-02 	 0.000e+00 	 8.485e-01 
1.80417 	 1.894e-02 	 0.000e+00 	 8.485e-01 
1.81250 	 1.823e-02 	 0.000e+00 	 8.582e-01 
1.82083 	 1.887e-02 	 0.000e+00 	 8.638e-01 
1.82917 	 1.851e-02 	 0.000e+00 	 8.902e-01 
1.83750 	 1.855e-02 	 0.000e+00 	 8.905e-01 
1.84583 	 1.886e-02 	 0.000e+00 	 9.020e-01 
1.85417 	 1.877e-02 	 0.000e+00 	 9.031e-01 
1.86250 	 1.825e-02 	 0.000e+00 	 9.030e-01 
1.87083 	 1.863e-02 	 0.000e+00 	 8.872e-01 
1.87917 	 1.845e-02 	 0.000e+00 	 9.223e-01 
1.88750 	 1.840e-02 	 0.000e+00 	 9.320e-01 
1.89583 	 1.889e-02 	 0.000e+00 	 9.404e-01 
1.90417 	 1.848e-02 	 0.000e+00 	 9.259e-01 
1.91250 	 1.862e-02 	 0.000e+00 	 9.354e-01 
1.92083 	 1.789e-02 	 0.000e+00 	 9.467e-01 
1.92917 	 1.824e-02 	 0.000e+00 	 9.545e-01 
1.93750 	 1.822e-02 	 0.000e+00 	 9.673e-01 
1.94583 	 1.850e-02 	 0.000e+00 	 9.653e-01 
1.95417 	 1.841e-02 	 0.000e+00 	 1.002e+00 
1.96250 	 1.802e-02 	 0.000e+00 	 9.961e-01 
1.97083 	 1.799e-02 	 0.000e+00 	 9.952e-01 
1.97917 	 1.789e-02 	 0.000e+00 	 1.015e+00 
1.98750 	 1.787e-02 	 0.000e+00 	 1.029e+00 
1.99583 	 1.825e-02 	 0.000e+00 	 2.028e-02 
2.00417 	 6.571e-01 	 0.000e+00 	 2.228e+00 
